'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:53:30.000 08/07/2079]',-30.867,110.183,-39.072,237.558,185.201,-96.899,-12.112,201.612,57.436,-55.092,-3.907,94.554,-2.735,78.926,-54.310,71.111,17.582,5.079,39.853,11.722,-59.780,78.144,-54.310,-380.562
'[18:53:30.004 08/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:53:30.008 08/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781
'[18:53:30.012 08/07/2079]',1.172,-1.172,0.391,0.391,0.391,0.781,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:53:30.016 08/07/2079]',0.000,0.391,0.391,0.781,0.391,0.000,0.391,0.391,0.391,0.000,0.391,0.781,-0.391,2.344,-0.391,0.391,0.391,0.391,0.391,0.391,1.172,1.172,-0.391,-0.781
'[18:53:30.020 08/07/2079]',-3.126,7.424,-0.781,-0.781,0.391,-1.563,0.391,2.344,0.781,0.391,0.391,1.172,0.000,2.735,-0.391,1.172,0.391,0.391,1.563,-0.781,0.000,0.391,-0.391,-2.344
'[18:53:30.023 08/07/2079]',-1.954,7.033,-0.781,-1.954,0.391,-0.391,0.391,1.563,1.563,1.172,0.391,0.391,1.954,-1.563,1.563,1.563,0.781,0.391,1.563,0.391,-1.954,-2.344,1.563,-1.563
'[18:53:30.027 08/07/2079]',3.907,-4.689,0.781,2.344,1.172,2.344,1.172,-1.954,0.391,1.563,0.000,-0.781,1.954,-4.689,2.735,0.391,0.391,1.172,0.000,1.954,0.391,-1.563,2.735,0.391
'[18:53:30.031 08/07/2079]',4.298,-7.814,1.563,5.861,1.954,0.781,1.172,-0.781,-0.391,0.000,0.391,0.391,-0.781,0.781,0.391,0.391,0.000,1.172,-0.781,0.000,3.126,2.344,0.391,0.391
'[18:53:30.035 08/07/2079]',-3.907,6.642,-0.781,-0.781,0.391,-3.516,0.391,4.298,0.781,-0.781,0.781,1.172,-1.172,3.907,-0.781,0.391,0.781,-0.781,1.563,-0.781,0.391,1.172,-0.781,-5.470
'[18:53:30.039 08/07/2079]',-12.112,20.317,-1.172,-6.252,0.000,-5.470,-0.781,6.642,2.735,0.391,1.172,1.954,-0.391,7.424,-0.781,1.563,1.954,-0.781,1.954,0.781,-2.735,0.000,-0.781,-23.053
'[18:53:30.043 08/07/2079]',-27.350,51.184,-7.033,-4.689,8.205,-14.847,3.126,14.066,7.424,0.391,4.298,9.377,-2.735,23.443,-6.642,9.768,3.516,1.563,7.814,-7.814,-1.172,0.391,-6.642,-41.026
'[18:53:30.047 08/07/2079]',-33.211,80.488,-19.145,-11.722,8.987,-19.927,6.252,19.536,14.457,7.424,0.781,7.424,7.814,-1.172,5.470,18.755,7.814,0.781,19.927,-9.377,-14.847,-20.317,5.470,-56.264
'[18:53:30.051 08/07/2079]',-27.350,59.389,-9.377,0.391,12.503,-21.880,10.159,20.317,15.238,11.722,-1.172,2.344,11.722,-17.973,15.629,17.973,10.940,5.079,10.159,3.907,-14.847,-28.913,15.629,-57.827
'[18:53:30.055 08/07/2079]',-19.145,50.403,-16.020,15.238,21.099,-19.536,10.940,16.801,15.238,12.503,-1.563,0.000,9.768,-25.788,28.132,14.457,13.675,7.033,16.801,-3.516,-9.377,-30.867,28.132,-53.529
'[18:53:30.059 08/07/2079]',-16.410,43.370,-15.238,12.894,18.364,-23.834,9.377,19.536,17.582,14.066,-1.954,-2.735,10.549,-22.662,26.960,10.940,14.457,1.172,16.020,3.516,-15.629,-24.615,26.960,-48.449
