'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[09:22:42.000 14/03/2059]',-54.701,5.861,14.847,53.138,-214.896,196.532,-101.587,139.096,238.730,13.284,14.847,-10.159,160.195,94.945,25.397,-23.834,-42.589,21.490,-14.066,-102.369,93.773,60.562,25.397
'[09:22:42.004 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[09:22:42.008 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[09:22:42.012 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.000,0.000,0.781,0.000,0.391,0.391,0.391,0.000,0.000,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391
'[09:22:42.016 14/03/2059]',0.391,0.391,0.391,0.391,0.000,0.781,-0.391,1.172,0.781,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[09:22:42.020 14/03/2059]',1.172,0.781,0.781,0.391,0.000,2.344,2.735,-1.563,2.735,0.391,0.781,0.391,2.344,1.563,0.391,0.000,-0.391,-0.781,0.000,2.735,0.391,-0.781,0.391
'[09:22:42.023 14/03/2059]',0.781,0.781,0.391,0.391,0.391,0.781,5.470,-4.298,1.172,0.391,0.781,0.391,1.172,1.563,0.000,0.000,-0.391,0.391,0.391,0.781,0.000,1.563,0.000
'[09:22:42.027 14/03/2059]',-0.781,0.391,0.000,0.781,0.391,-1.172,-0.391,1.172,-1.563,0.000,0.391,1.172,-1.172,0.000,0.391,0.781,0.000,1.563,0.781,-5.079,0.781,5.079,0.391
'[09:22:42.031 14/03/2059]',-1.172,0.391,0.391,0.391,-1.563,0.391,-7.033,8.205,0.000,0.391,0.391,1.172,-0.391,-0.781,1.954,0.391,0.391,0.391,0.391,-2.344,1.563,0.391,1.954
'[09:22:42.035 14/03/2059]',0.391,1.954,1.172,-0.391,-1.563,3.126,1.563,0.391,2.735,0.391,0.781,0.781,3.126,0.391,1.563,-0.391,0.781,-1.954,-0.391,8.987,0.000,-8.205,1.563
'[09:22:42.039 14/03/2059]',1.563,1.954,1.172,0.391,-2.344,5.079,14.066,-10.940,6.642,0.391,1.172,0.781,5.861,4.689,-0.391,-0.781,-1.172,-2.344,-0.391,6.252,-0.391,-0.781,-0.391
'[09:22:42.043 14/03/2059]',2.735,5.861,3.516,0.391,-8.987,19.536,18.755,-14.847,23.053,0.000,5.079,0.781,17.192,16.410,0.000,-5.079,-10.940,-8.205,-2.735,1.954,1.563,9.768,0.000
'[09:22:42.047 14/03/2059]',5.079,10.159,4.689,-1.172,-8.596,20.708,35.556,-28.132,25.006,-3.516,7.814,3.907,21.099,20.708,0.781,-8.596,-16.020,-10.549,-3.907,10.940,-1.954,7.814,0.781
'[09:22:42.051 14/03/2059]',-5.861,13.284,2.344,1.563,-21.490,19.927,33.993,-20.317,20.708,-5.470,6.642,13.675,17.192,22.662,2.344,-7.033,-19.145,-8.205,-1.563,-3.907,1.954,19.536,2.344
'[09:22:42.055 14/03/2059]',-12.503,18.364,1.563,0.781,-31.648,24.615,23.053,-6.252,19.927,-7.814,6.252,20.317,17.973,14.847,13.675,-7.814,-19.536,-11.331,-0.781,-16.020,7.033,18.364,13.675
'[09:22:42.059 14/03/2059]',-17.582,25.788,2.344,-0.391,-40.635,26.178,28.523,-4.298,19.145,-7.033,5.079,26.960,21.880,12.112,19.145,-8.987,-10.549,-18.364,-1.563,3.907,5.079,-2.344,19.145
'[09:22:42.063 14/03/2059]',-25.788,29.695,1.954,2.344,-52.357,29.304,38.681,-6.252,15.629,-5.079,0.000,35.165,21.880,11.722,19.145,-7.033,-0.781,-22.271,-1.172,10.159,10.549,-9.768,19.145
'[09:22:42.066 14/03/2059]',-30.085,33.211,4.689,5.079,-58.608,37.900,37.900,-3.907,19.536,-1.172,-3.516,35.946,23.834,14.847,18.364,-7.033,5.079,-27.741,-3.907,-5.470,18.755,5.861,18.364
'[09:22:42.070 14/03/2059]',-32.430,40.635,6.252,1.954,-63.687,47.277,32.821,0.391,19.145,2.735,-4.689,35.165,24.615,17.973,19.927,-9.768,10.940,-34.774,-5.470,-0.391,19.927,5.079,19.927
